"freq","unit","direct","na_item","geo","TIME_PERIOD","values"
"A","EUR_HAB","BAL","B5N","AT",2000-01-01,17900
"A","EUR_HAB","BAL","B5N","AT",2001-01-01,18100
"A","EUR_HAB","BAL","B5N","AT",2002-01-01,18200
"A","EUR_HAB","BAL","B5N","AT",2003-01-01,18700
"A","EUR_HAB","BAL","B5N","AT",2004-01-01,19400
"A","EUR_HAB","BAL","B5N","AT",2005-01-01,20200
"A","EUR_HAB","BAL","B5N","AT",2006-01-01,21300
"A","EUR_HAB","BAL","B5N","AT",2007-01-01,22400
"A","EUR_HAB","BAL","B5N","AT",2008-01-01,23200
"A","EUR_HAB","BAL","B5N","AT",2009-01-01,22700
"A","EUR_HAB","BAL","B5N","AT",2010-01-01,22700
"A","EUR_HAB","BAL","B5N","AT",2011-01-01,23200
"A","EUR_HAB","BAL","B5N","AT",2012-01-01,24300
"A","EUR_HAB","BAL","B5N","AT",2013-01-01,24200
"A","EUR_HAB","BAL","B5N","AT",2014-01-01,24600
"A","EUR_HAB","BAL","B5N","AT",2015-01-01,25100
"A","EUR_HAB","BAL","B5N","AT",2016-01-01,25300
"A","EUR_HAB","BAL","B5N","AT",2017-01-01,26100
"A","EUR_HAB","BAL","B5N","AT",2018-01-01,27200
"A","EUR_HAB","BAL","B5N","AT",2019-01-01,27800
"A","EUR_HAB","BAL","B5N","AT",2020-01-01,26700
"A","EUR_HAB","BAL","B5N","AT",2021-01-01,28300
"A","EUR_HAB","BAL","B5N","AT",2022-01-01,30400
"A","EUR_HAB","BAL","B5N","AT",2023-01-01,32500
"A","EUR_HAB","BAL","B5N","AT1",2000-01-01,19000
"A","EUR_HAB","BAL","B5N","AT1",2001-01-01,19100
"A","EUR_HAB","BAL","B5N","AT1",2002-01-01,19100
"A","EUR_HAB","BAL","B5N","AT1",2003-01-01,19500
"A","EUR_HAB","BAL","B5N","AT1",2004-01-01,20100
"A","EUR_HAB","BAL","B5N","AT1",2005-01-01,20800
"A","EUR_HAB","BAL","B5N","AT1",2006-01-01,21800
"A","EUR_HAB","BAL","B5N","AT1",2007-01-01,23000
"A","EUR_HAB","BAL","B5N","AT1",2008-01-01,23800
"A","EUR_HAB","BAL","B5N","AT1",2009-01-01,23300
"A","EUR_HAB","BAL","B5N","AT1",2010-01-01,23200
"A","EUR_HAB","BAL","B5N","AT1",2011-01-01,23600
"A","EUR_HAB","BAL","B5N","AT1",2012-01-01,24500
"A","EUR_HAB","BAL","B5N","AT1",2013-01-01,24300
"A","EUR_HAB","BAL","B5N","AT1",2014-01-01,24600
"A","EUR_HAB","BAL","B5N","AT1",2015-01-01,25100
"A","EUR_HAB","BAL","B5N","AT1",2016-01-01,25200
"A","EUR_HAB","BAL","B5N","AT1",2017-01-01,25800
"A","EUR_HAB","BAL","B5N","AT1",2018-01-01,26900
"A","EUR_HAB","BAL","B5N","AT1",2019-01-01,27400
"A","EUR_HAB","BAL","B5N","AT1",2020-01-01,26400
"A","EUR_HAB","BAL","B5N","AT1",2021-01-01,28000
"A","EUR_HAB","BAL","B5N","AT1",2022-01-01,30000
"A","EUR_HAB","BAL","B5N","AT1",2023-01-01,32000
"A","EUR_HAB","BAL","B5N","AT11",2000-01-01,15800
"A","EUR_HAB","BAL","B5N","AT11",2001-01-01,16100
"A","EUR_HAB","BAL","B5N","AT11",2002-01-01,16400
"A","EUR_HAB","BAL","B5N","AT11",2003-01-01,17100
"A","EUR_HAB","BAL","B5N","AT11",2004-01-01,18300
"A","EUR_HAB","BAL","B5N","AT11",2005-01-01,19200
"A","EUR_HAB","BAL","B5N","AT11",2006-01-01,20200
"A","EUR_HAB","BAL","B5N","AT11",2007-01-01,21300
"A","EUR_HAB","BAL","B5N","AT11",2008-01-01,22000
"A","EUR_HAB","BAL","B5N","AT11",2009-01-01,21600
"A","EUR_HAB","BAL","B5N","AT11",2010-01-01,21700
"A","EUR_HAB","BAL","B5N","AT11",2011-01-01,22100
"A","EUR_HAB","BAL","B5N","AT11",2012-01-01,23400
"A","EUR_HAB","BAL","B5N","AT11",2013-01-01,23100
"A","EUR_HAB","BAL","B5N","AT11",2014-01-01,23600
"A","EUR_HAB","BAL","B5N","AT11",2015-01-01,24400
"A","EUR_HAB","BAL","B5N","AT11",2016-01-01,24400
"A","EUR_HAB","BAL","B5N","AT11",2017-01-01,25500
"A","EUR_HAB","BAL","B5N","AT11",2018-01-01,26400
"A","EUR_HAB","BAL","B5N","AT11",2019-01-01,26900
"A","EUR_HAB","BAL","B5N","AT11",2020-01-01,26100
"A","EUR_HAB","BAL","B5N","AT11",2021-01-01,27600
"A","EUR_HAB","BAL","B5N","AT11",2022-01-01,29400
"A","EUR_HAB","BAL","B5N","AT11",2023-01-01,31200
"A","EUR_HAB","BAL","B5N","AT12",2000-01-01,18100
"A","EUR_HAB","BAL","B5N","AT12",2001-01-01,18400
"A","EUR_HAB","BAL","B5N","AT12",2002-01-01,18500
"A","EUR_HAB","BAL","B5N","AT12",2003-01-01,19100
"A","EUR_HAB","BAL","B5N","AT12",2004-01-01,19800
"A","EUR_HAB","BAL","B5N","AT12",2005-01-01,20700
"A","EUR_HAB","BAL","B5N","AT12",2006-01-01,21800
"A","EUR_HAB","BAL","B5N","AT12",2007-01-01,23000
"A","EUR_HAB","BAL","B5N","AT12",2008-01-01,23900
"A","EUR_HAB","BAL","B5N","AT12",2009-01-01,23400
"A","EUR_HAB","BAL","B5N","AT12",2010-01-01,23500
"A","EUR_HAB","BAL","B5N","AT12",2011-01-01,24100
"A","EUR_HAB","BAL","B5N","AT12",2012-01-01,25200
"A","EUR_HAB","BAL","B5N","AT12",2013-01-01,25100
"A","EUR_HAB","BAL","B5N","AT12",2014-01-01,25500
"A","EUR_HAB","BAL","B5N","AT12",2015-01-01,26100
"A","EUR_HAB","BAL","B5N","AT12",2016-01-01,26400
"A","EUR_HAB","BAL","B5N","AT12",2017-01-01,27100
"A","EUR_HAB","BAL","B5N","AT12",2018-01-01,28300
"A","EUR_HAB","BAL","B5N","AT12",2019-01-01,28800
"A","EUR_HAB","BAL","B5N","AT12",2020-01-01,27900
